Type,Episode Choice,Name,Episode Number,Episode Link,Images
episode,Episode Link,NOUBA - EP12 P3,EP12P3,https://www.youtube.com/watch?v=94awPZvuJiw,https://img.youtube.com/vi/94awPZvuJiw/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP12 P2,EP12P2,https://www.youtube.com/watch?v=LDGeDLe66GQ,https://img.youtube.com/vi/LDGeDLe66GQ/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP12 P1,EP12P1,https://www.youtube.com/watch?v=VFdXsT2wMJ8,https://img.youtube.com/vi/VFdXsT2wMJ8/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP11 P3,EP11P3,https://www.youtube.com/watch?v=-bZcLjZ9J6M,https://img.youtube.com/vi/-bZcLjZ9J6M/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP11 P2,EP11P2,https://www.youtube.com/watch?v=-5kqGydxfKI,https://img.youtube.com/vi/-5kqGydxfKI/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP11 P1,EP11P1,https://www.youtube.com/watch?v=1Ny8EEf0BeY,https://img.youtube.com/vi/1Ny8EEf0BeY/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP10 P3,EP10P3,https://www.youtube.com/watch?v=XCaHgmzOW9g,https://img.youtube.com/vi/XCaHgmzOW9g/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP10 P2,EP10P2,https://www.youtube.com/watch?v=AI4_Iag87cQ,https://img.youtube.com/vi/AI4_Iag87cQ/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP10 P1,EP10P1,https://www.youtube.com/watch?v=RjDaw9Pj6lo,https://img.youtube.com/vi/RjDaw9Pj6lo/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP09 P3,EP09P3,https://www.youtube.com/watch?v=2lcslu2F_fw,https://img.youtube.com/vi/2lcslu2F_fw/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP09 P2,EP09P2,https://www.youtube.com/watch?v=NDaTd77TwOg,https://img.youtube.com/vi/NDaTd77TwOg/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP09 P1,EP09P1,https://www.youtube.com/watch?v=WWB2bsgSIQw,https://img.youtube.com/vi/WWB2bsgSIQw/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP08 P3,EP08P3,https://www.youtube.com/watch?v=vdkpIwoMY7w,https://img.youtube.com/vi/vdkpIwoMY7w/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP08 P2,EP08P2,https://www.youtube.com/watch?v=p3ybmV55mi4,https://img.youtube.com/vi/p3ybmV55mi4/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP08 P1,EP08P1,https://www.youtube.com/watch?v=33oFr39CtuU,https://img.youtube.com/vi/33oFr39CtuU/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP07 P3,EP07P3,https://www.youtube.com/watch?v=5MViGvaRchw,https://img.youtube.com/vi/5MViGvaRchw/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP07 P2,EP07P2,https://www.youtube.com/watch?v=C4i9ow7tk5w,https://img.youtube.com/vi/C4i9ow7tk5w/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP07 P1,EP07P1,https://www.youtube.com/watch?v=hXsXsRcCJ08,https://img.youtube.com/vi/hXsXsRcCJ08/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP06 P3,EP06P3,https://www.youtube.com/watch?v=lWtPIOQBNMU,https://img.youtube.com/vi/lWtPIOQBNMU/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP06 P2,EP06P2,https://www.youtube.com/watch?v=4RHA71Zen78,https://img.youtube.com/vi/4RHA71Zen78/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP06 P1,EP06P1,https://www.youtube.com/watch?v=80IyZyS5P2o,https://img.youtube.com/vi/80IyZyS5P2o/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP05 P3,EP05P3,https://www.youtube.com/watch?v=BWZwV6XoqrI,https://img.youtube.com/vi/BWZwV6XoqrI/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP05 P2,EP05P2,https://www.youtube.com/watch?v=AcP4-Cso-qo,https://img.youtube.com/vi/AcP4-Cso-qo/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP05 P1,EP05P1,https://www.youtube.com/watch?v=LRPU9twU3u4,https://img.youtube.com/vi/LRPU9twU3u4/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP04 P3,EP04P3,https://www.youtube.com/watch?v=Awivyn--0tY,https://img.youtube.com/vi/Awivyn--0tY/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP04 P2,EP04P2,https://www.youtube.com/watch?v=VLbBCSH0zQk,https://img.youtube.com/vi/VLbBCSH0zQk/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP04 P1,EP04P1,https://www.youtube.com/watch?v=BUmCFx0LlvI,https://img.youtube.com/vi/BUmCFx0LlvI/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP03 P3,EP03P3,https://www.youtube.com/watch?v=PvSMZybx58k,https://img.youtube.com/vi/PvSMZybx58k/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP03 P2,EP03P2,https://www.youtube.com/watch?v=xk3zmL4LNkA,https://img.youtube.com/vi/xk3zmL4LNkA/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP03 P1,EP03P1,https://www.youtube.com/watch?v=87gBxAnT9CI,https://img.youtube.com/vi/87gBxAnT9CI/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP02 P3,EP02P3,https://www.youtube.com/watch?v=Jc9eEh8u1JE,https://img.youtube.com/vi/Jc9eEh8u1JE/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP02 P2,EP02P2,https://www.youtube.com/watch?v=GnVvR9IAMN8,https://img.youtube.com/vi/GnVvR9IAMN8/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP02 P1,EP02P1,https://www.youtube.com/watch?v=93FsvPr-21s,https://img.youtube.com/vi/93FsvPr-21s/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP01 P3,EP01P3,https://www.youtube.com/watch?v=QTQWESI7ypE,https://img.youtube.com/vi/QTQWESI7ypE/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP01 P2,EP01P2,https://www.youtube.com/watch?v=-2e2q4QzCps,https://img.youtube.com/vi/-2e2q4QzCps/0.jpg,Nouba Saison 1
episode,Episode Link,NOUBA - EP01 P1,EP01P1,https://www.youtube.com/watch?v=X1rAUyT-y1Y,https://img.youtube.com/vi/X1rAUyT-y1Y/0.jpg,Nouba Saison 1
episode,Episode Link,BANDE D&#39;ANNONCE DU FEUILLETON NOUBA | إعلان مسلسل نوبة,BANDED&#39;ANNONCEDUFEUILLETONNOUBA|إعلانمسلسلنوبة,https://www.youtube.com/watch?v=sNmS1dhedA0,https://img.youtube.com/vi/sNmS1dhedA0/0.jpg,Nouba Saison 1
episode,Episode Link,LE PERSONNAGE WASSILA DU FEUILLETON NOUBA - إعلان شخصية وسيلة,LEPERSONNAGEWASSILADUFEUILLETONNOUBAإعلانشخصيةوسيلة,https://www.youtube.com/watch?v=VKn-oZnxII8,https://img.youtube.com/vi/VKn-oZnxII8/0.jpg,Nouba Saison 1
episode,Episode Link,LE PERSONNAGE GANOUCH DU FEUILLETON NOUBA - إعلان شخصية ڨنوش,LEPERSONNAGEGANOUCHDUFEUILLETONNOUBAإعلانشخصيةڨنوش,https://www.youtube.com/watch?v=pbkcXLTEuGs,https://img.youtube.com/vi/pbkcXLTEuGs/0.jpg,Nouba Saison 1
episode,Episode Link,LE PERSONNAGE MAHER DU FEUILLETON NOUBA - إعلان شخصية ماهر,LEPERSONNAGEMAHERDUFEUILLETONNOUBAإعلانشخصيةماهر,https://www.youtube.com/watch?v=W-pp90DoxbI,https://img.youtube.com/vi/W-pp90DoxbI/0.jpg,Nouba Saison 1
episode,Episode Link,الإعلان التشويقي لمسلسل نوبة   | TEASER DE LA SÉRIE NOUBA,الإعلانالتشويقيلمسلسلنوبة|TEASERDELASÉRIENOUBA,https://www.youtube.com/watch?v=qnMF4HIPOVA,https://img.youtube.com/vi/qnMF4HIPOVA/0.jpg,Nouba Saison 1
